Column 1,Column 2,Column 3,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15
39,7,77516,13,5,1,2,5,2,2174,0,40,39,0
50,6,83311,13,3,4,1,5,2,0,0,13,39,0
38,4,215646,9,1,6,2,5,2,0,0,40,39,0
53,4,234721,7,3,6,1,3,2,0,0,40,39,0
28,4,338409,13,3,10,6,3,1,0,0,40,5,0
37,4,284582,14,3,4,6,5,1,0,0,40,39,0
49,4,160187,5,4,8,2,3,1,0,0,16,23,0
52,6,209642,9,3,4,1,5,2,0,0,45,39,1
31,4,45781,14,5,10,2,5,1,14084,0,50,39,1
42,4,159449,13,3,4,1,5,2,5178,0,40,39,1
37,4,280464,10,3,4,1,3,2,0,0,80,39,1
30,7,141297,13,3,10,1,2,2,0,0,40,19,1
23,4,122272,13,5,1,4,5,1,0,0,30,39,0
32,4,205019,12,5,12,2,3,2,0,0,50,39,0
40,4,121772,11,3,3,1,2,2,0,0,40,0,1
34,4,245487,4,3,14,1,1,2,0,0,45,26,0
25,6,176756,9,5,5,4,5,2,0,0,35,39,0
32,4,186824,9,5,7,5,5,2,0,0,40,39,0
38,4,28887,7,3,12,1,5,2,0,0,50,39,0
43,6,292175,14,1,4,5,5,1,0,0,45,39,1
40,4,193524,16,3,10,1,5,2,0,0,60,39,1
54,4,302146,9,6,8,5,3,1,0,0,20,39,0
35,1,76845,5,3,5,1,3,2,0,0,40,39,0
43,4,117037,7,3,14,1,5,2,0,2042,40,39,0
59,4,109015,9,1,13,5,5,1,0,0,40,39,0
56,2,216851,13,3,13,1,5,2,0,0,40,39,1
19,4,168294,9,5,3,4,5,2,0,0,40,39,0
54,0,180211,10,3,0,1,2,2,0,0,60,35,1
39,4,367260,9,1,4,2,5,2,0,0,80,39,0
49,4,193366,9,3,3,1,5,2,0,0,40,39,0
23,2,190709,12,5,11,2,5,2,0,0,52,39,0
20,4,266015,10,5,12,4,3,2,0,0,44,39,0
45,4,386940,13,1,4,4,5,2,0,1408,40,39,0
30,1,59951,10,3,1,4,5,2,0,0,40,39,0
22,7,311512,10,3,8,1,3,2,0,0,15,39,0
48,4,242406,7,5,7,5,5,2,0,0,40,33,0
21,4,197200,10,5,7,4,5,2,0,0,40,39,0
19,4,544091,9,2,1,6,5,1,0,0,25,39,0
31,4,84154,10,3,12,1,5,2,0,0,38,0,1
48,6,265477,12,3,10,1,5,2,0,0,40,39,0
31,4,507875,5,3,7,1,5,2,0,0,43,39,0
53,6,88506,13,3,10,1,5,2,0,0,40,39,0
24,4,172987,13,3,13,1,5,2,0,0,50,39,0
49,4,94638,9,6,1,5,5,1,0,0,40,39,0
25,4,289980,9,5,6,2,5,2,0,0,35,39,0
57,1,337895,13,3,10,1,3,2,0,0,40,39,1
53,4,144361,9,3,7,1,5,2,0,0,38,39,0
44,4,128354,14,1,4,5,5,1,0,0,40,39,0
41,7,101603,11,3,3,1,5,2,0,0,40,39,0
29,4,271466,11,5,10,2,5,2,0,0,43,39,0
25,4,32275,10,3,4,6,4,1,0,0,40,39,0
18,4,226956,9,5,8,4,5,1,0,0,30,0,0
47,4,51835,15,3,10,6,5,1,0,1902,60,16,1
50,1,251585,13,1,4,2,5,2,0,0,55,39,1
